Year,Age,Immunization,Immunization_Count
2008,14,Tetanus,16075
2008,14,Pertussis,14061
2008,14,Polio,2049
2008,14,Human Papilloma Virus,20901
2008,14,Varicella,13377
2008,14,Measles,1949
2008,14,Mumps,1938
2008,14,Rubella,1941
2008,14,Influenza,10426
2008,14,Rotavirus,0
2008,14,Hib,128
2008,14,Pneumococcal,230
2008,14,Hepatitis A,10746
2008,14,Meningococcal,19007
2008,15,Hepatitis B,4021
2008,15,Diphtheria,13767
2008,15,Tetanus,13767
2008,15,Pertussis,11996
2008,15,Polio,2149
2008,15,Human Papilloma Virus,19639
2008,15,Varicella,10972
2008,15,Measles,2176
2008,15,Mumps,2172
2008,15,Rubella,2179
2008,15,Influenza,9755
2008,15,Rotavirus,0
2008,15,Hib,129
2008,15,Pneumococcal,221
2008,15,Hepatitis A,10278
2008,15,Meningococcal,16747
2008,16,Hepatitis B,3518
2008,16,Diphtheria,11866
2008,16,Tetanus,11866
2008,16,Pertussis,10359
2008,16,Polio,2248
2008,16,Human Papilloma Virus,17900
2008,16,Varicella,8634
2008,16,Measles,2117
2008,16,Mumps,2111
2008,16,Rubella,2115
2008,16,Influenza,8786
2008,16,Rotavirus,0
2008,16,Hib,136
2008,16,Pneumococcal,184
2008,16,Hepatitis A,8532
2008,16,Meningococcal,14111
2008,17,Hepatitis B,3648
2008,17,Diphtheria,9929
2008,17,Tetanus,9929
2008,17,Pertussis,8748
2008,17,Polio,2368
2008,17,Human Papilloma Virus,15596
2008,17,Varicella,6769
2008,17,Measles,2243
2008,17,Mumps,2236
2008,17,Rubella,2241
2008,17,Influenza,7345
2008,17,Rotavirus,0
2008,17,Hib,105
2008,17,Pneumococcal,156
2008,17,Hepatitis A,6437
2008,17,Meningococcal,11866
2008,18,Hepatitis B,2950
2008,18,Diphtheria,5142
2008,18,Tetanus,5142
2008,18,Pertussis,4289
2008,18,Polio,1829
2008,18,Human Papilloma Virus,7904
2008,18,Varicella,3654
2008,18,Measles,1973
2008,18,Mumps,1972
2008,18,Rubella,1973
2008,18,Influenza,3314
2008,18,Rotavirus,0
2008,18,Hib,
2008,18,Pneumococcal,96
2008,18,Hepatitis A,3380
2008,18,Meningococcal,5336
2008,19,Hepatitis B,161
2008,19,Diphtheria,612
2008,19,Tetanus,612
2008,19,Pertussis,546
2008,19,Polio,41
2008,19,Human Papilloma Virus,1482
2008,19,Varicella,314
2008,19,Measles,77
2008,19,Mumps,77
2008,19,Rubella,77
2008,19,Influenza,774
2008,19,Rotavirus,0
2008,19,Hib,
2008,19,Pneumococcal,20
2008,19,Hepatitis A,285
2008,19,Meningococcal,667
2008,20,Hepatitis B,447
2008,20,Diphtheria,703
2008,20,Tetanus,703
2008,20,Pertussis,634
2008,20,Polio,251
2008,20,Human Papilloma Virus,954
2008,20,Varicella,306
2008,20,Measles,165
2008,20,Mumps,165
2008,20,Rubella,166
2008,20,Influenza,588
2008,20,Rotavirus,0
2008,20,Hib,200
2008,20,Pneumococcal,247
2008,20,Hepatitis A,313
2008,20,Meningococcal,411
2008,Unknown,Hepatitis B,442
2008,Unknown,Diphtheria,655
2008,Unknown,Tetanus,655
2008,Unknown,Pertussis,647
2008,Unknown,Polio,544
2008,Unknown,Human Papilloma Virus,60
2008,Unknown,Varicella,192
2008,Unknown,Measles,150
2008,Unknown,Mumps,150
2008,Unknown,Rubella,152
2008,Unknown,Influenza,218
2008,Unknown,Rotavirus,0
2008,Unknown,Hib,489
2008,Unknown,Pneumococcal,551
2008,Unknown,Hepatitis A,204
2008,Unknown,Meningococcal,33
2008,0,Hepatitis B,162899
2008,0,Diphtheria,178739
2008,0,Tetanus,178739
2008,0,Pertussis,178553
2008,0,Polio,175112
2008,0,Human Papilloma Virus,0
2008,0,Varicella,0
2008,0,Measles,0
2008,0,Mumps,0
2008,0,Rubella,0
2008,0,Influenza,11905
2008,0,Rotavirus,143432
2008,0,Hib,171234
2008,0,Pneumococcal,175139
2008,0,Hepatitis A,0
2008,0,Meningococcal,0
2008,1,Hepatitis B,13829
2008,1,Diphtheria,36955
2008,1,Tetanus,36955
2008,1,Pertussis,36906
2008,1,Polio,17003
2008,1,Human Papilloma Virus,0
2008,1,Varicella,28031
2008,1,Measles,28233
2008,1,Mumps,28229
2008,1,Rubella,28247
2008,1,Influenza,20216
2008,1,Rotavirus,0
2008,1,Hib,23047
2008,1,Pneumococcal,36796
2008,1,Hepatitis A,33256
2008,1,Meningococcal,0
2008,2,Hepatitis B,1896
2008,2,Diphtheria,7048
2008,2,Tetanus,7048
2008,2,Pertussis,7031
2008,2,Polio,2231
2008,2,Human Papilloma Virus,0
2008,2,Varicella,2639
2008,2,Measles,2319
2008,2,Mumps,2318
2008,2,Rubella,2321
2008,2,Influenza,10356
2008,2,Rotavirus,0
2008,2,Hib,3088
2008,2,Pneumococcal,4154
2008,2,Hepatitis A,17662
2008,2,Meningococcal,361
2008,3,Hepatitis B,985
2008,3,Diphtheria,2518
2008,3,Tetanus,2518
2008,3,Pertussis,2506
2008,3,Polio,1385
2008,3,Human Papilloma Virus,0
2008,3,Varicella,1762
2008,3,Measles,1352
2008,3,Mumps,1352
2008,3,Rubella,1354
2008,3,Influenza,7096
2008,3,Rotavirus,0
2008,3,Hib,917
2008,3,Pneumococcal,1367
2008,3,Hepatitis A,6467
2008,3,Meningococcal,223
2008,4,Hepatitis B,956
2008,4,Diphtheria,18818
2008,4,Tetanus,18818
2008,4,Pertussis,18796
2008,4,Polio,18463
2008,4,Human Papilloma Virus,0
2008,4,Varicella,16767
2008,4,Measles,18268
2008,4,Mumps,18257
2008,4,Rubella,18266
2008,4,Influenza,6204
2008,4,Rotavirus,0
2008,4,Hib,690
2008,4,Pneumococcal,901
2008,4,Hepatitis A,4765
2008,4,Meningococcal,251
2008,5,Hepatitis B,570
2008,5,Diphtheria,4747
2008,5,Tetanus,4747
2008,5,Pertussis,4737
2008,5,Polio,4212
2008,5,Human Papilloma Virus,0
2008,5,Varicella,4871
2008,5,Measles,4234
2008,5,Mumps,4232
2008,5,Rubella,4234
2008,5,Influenza,3982
2008,5,Rotavirus,0
2008,5,Hib,192
2008,5,Pneumococcal,217
2008,5,Hepatitis A,2518
2008,5,Meningococcal,164
2008,6,Hepatitis B,319
2008,6,Diphtheria,819
2008,6,Tetanus,819
2008,6,Pertussis,808
2008,6,Polio,632
2008,6,Human Papilloma Virus,0
2008,6,Varicella,2540
2008,6,Measles,583
2008,6,Mumps,583
2008,6,Rubella,583
2008,6,Influenza,3533
2008,6,Rotavirus,0
2008,6,Hib,47
2008,6,Pneumococcal,74
2008,6,Hepatitis A,1106
2008,6,Meningococcal,139
2008,7,Hepatitis B,193
2008,7,Diphtheria,369
2008,7,Tetanus,369
2008,7,Pertussis,254
2008,7,Polio,277
2008,7,Human Papilloma Virus,0
2008,7,Varicella,2388
2008,7,Measles,271
2008,7,Mumps,271
2008,7,Rubella,271
2008,7,Influenza,2753
2008,7,Rotavirus,0
2008,7,Hib,20
2008,7,Pneumococcal,57
2008,7,Hepatitis A,731
2008,7,Meningococcal,124
2008,8,Hepatitis B,187
2008,8,Diphtheria,305
2008,8,Tetanus,305
2008,8,Pertussis,178
2008,8,Polio,211
2008,8,Human Papilloma Virus,0
2008,8,Varicella,2324
2008,8,Measles,199
2008,8,Mumps,199
2008,8,Rubella,199
2008,8,Influenza,2414
2008,8,Rotavirus,0
2008,8,Hib,
2008,8,Pneumococcal,20
2008,8,Hepatitis A,649
2008,8,Meningococcal,97
2008,9,Hepatitis B,170
2008,9,Diphtheria,374
2008,9,Tetanus,374
2008,9,Pertussis,204
2008,9,Polio,178
2008,9,Human Papilloma Virus,726
2008,9,Varicella,2403
2008,9,Measles,182
2008,9,Mumps,182
2008,9,Rubella,185
2008,9,Influenza,2147
2008,9,Rotavirus,0
2008,9,Hib,13
2008,9,Pneumococcal,33
2008,9,Hepatitis A,689
2008,9,Meningococcal,135
2008,10,Hepatitis B,210
2008,10,Diphtheria,960
2008,10,Tetanus,960
2008,10,Pertussis,769
2008,10,Polio,160
2008,10,Human Papilloma Virus,950
2008,10,Varicella,2197
2008,10,Measles,164
2008,10,Mumps,164
2008,10,Rubella,165
2008,10,Influenza,1891
2008,10,Rotavirus,0
2008,10,Hib,
2008,10,Pneumococcal,34
2008,10,Hepatitis A,619
2008,10,Meningococcal,327
2008,11,Hepatitis B,195
2008,11,Diphtheria,4986
2008,11,Tetanus,4986
2008,11,Pertussis,4656
2008,11,Polio,184
2008,11,Human Papilloma Virus,3178
2008,11,Varicella,2696
2008,11,Measles,187
2008,11,Mumps,187
2008,11,Rubella,187
2008,11,Influenza,2095
2008,11,Rotavirus,0
2008,11,Hib,11
2008,11,Pneumococcal,52
2008,11,Hepatitis A,925
2008,11,Meningococcal,4985
2008,12,Hepatitis B,273
2008,12,Diphtheria,3399
2008,12,Tetanus,3399
2008,12,Pertussis,3166
2008,12,Polio,249
2008,12,Human Papilloma Virus,3261
2008,12,Varicella,2373
2008,12,Measles,251
2008,12,Mumps,251
2008,12,Rubella,251
2008,12,Influenza,1923
2008,12,Rotavirus,0
2008,12,Hib,14
2008,12,Pneumococcal,51
2008,12,Hepatitis A,1178
2008,12,Meningococcal,3476
2008,13,Hepatitis B,253
2008,13,Diphtheria,2332
2008,13,Tetanus,2332
2008,13,Pertussis,2144
2008,13,Polio,215
2008,13,Human Papilloma Virus,2774
2008,13,Varicella,2011
2008,13,Measles,209
2008,13,Mumps,209
2008,13,Rubella,210
2008,13,Influenza,1772
2008,13,Rotavirus,0
2008,13,Hib,14
2008,13,Pneumococcal,35
2008,13,Hepatitis A,1169
2008,13,Meningococcal,2583
2008,14,Hepatitis B,253
2008,14,Diphtheria,2293
2008,14,Tetanus,2293
2008,14,Pertussis,2101
2008,14,Polio,209
2008,14,Human Papilloma Virus,3137
2008,14,Varicella,1968
2008,14,Measles,215
2008,14,Mumps,213
2008,14,Rubella,214
2008,14,Influenza,1815
2008,14,Rotavirus,0
2008,14,Hib,15
2008,14,Pneumococcal,51
2008,14,Hepatitis A,1478
2008,14,Meningococcal,2723
2008,15,Hepatitis B,329
2008,15,Diphtheria,2086
2008,15,Tetanus,2086
2008,15,Pertussis,1895
2008,15,Polio,210
2008,15,Human Papilloma Virus,2871
2008,15,Varicella,1790
2008,15,Measles,210
2008,15,Mumps,210
2008,15,Rubella,210
2008,15,Influenza,1693
2008,15,Rotavirus,0
2008,15,Hib,15
2008,15,Pneumococcal,34
2008,15,Hepatitis A,1477
2008,15,Meningococcal,2496
2008,16,Hepatitis B,321
2008,16,Diphtheria,1713
2008,16,Tetanus,1713
2008,16,Pertussis,1561
2008,16,Polio,232
2008,16,Human Papilloma Virus,2657
2008,16,Varicella,1268
2008,16,Measles,210
2008,16,Mumps,210
2008,16,Rubella,212
2008,16,Influenza,1472
2008,16,Rotavirus,0
2008,16,Hib,17
2008,16,Pneumococcal,29
2008,16,Hepatitis A,1182
2008,16,Meningococcal,2084
2008,17,Hepatitis B,345
2008,17,Diphtheria,1521
2008,17,Tetanus,1521
2008,17,Pertussis,1396
2008,17,Polio,190
2008,17,Human Papilloma Virus,2406
2008,17,Varicella,1050
2008,17,Measles,193
2008,17,Mumps,193
2008,17,Rubella,193
2008,17,Influenza,1328
2008,17,Rotavirus,0
2008,17,Hib,13
2008,17,Pneumococcal,33
2008,17,Hepatitis A,877
2008,17,Meningococcal,1865
2008,18,Hepatitis B,134
2008,18,Diphtheria,497
2008,18,Tetanus,497
2008,18,Pertussis,441
2008,18,Polio,57
2008,18,Human Papilloma Virus,950
2008,18,Varicella,299
2008,18,Measles,74
2008,18,Mumps,74
2008,18,Rubella,74
2008,18,Influenza,518
2008,18,Rotavirus,0
2008,18,Hib,
2008,18,Pneumococcal,
2008,18,Hepatitis A,289
2008,18,Meningococcal,542
2008,19,Hepatitis B,38
2008,19,Diphtheria,173
2008,19,Tetanus,173
2008,19,Pertussis,155
2008,19,Polio,
2008,19,Human Papilloma Virus,378
2008,19,Varicella,106
2008,19,Measles,19
2008,19,Mumps,19
2008,19,Rubella,19
2008,19,Influenza,233
2008,19,Rotavirus,0
2008,19,Hib,0
2008,19,Pneumococcal,
2008,19,Hepatitis A,73
2008,19,Meningococcal,181
2008,20,Hepatitis B,26
2008,20,Diphtheria,82
2008,20,Tetanus,82
2008,20,Pertussis,70
2008,20,Polio,
2008,20,Human Papilloma Virus,220
2008,20,Varicella,35
2008,20,Measles,13
2008,20,Mumps,13
2008,20,Rubella,13
2008,20,Influenza,103
2008,20,Rotavirus,0
2008,20,Hib,
2008,20,Pneumococcal,
2008,20,Hepatitis A,43
2008,20,Meningococcal,79
2008,Unknown,Hepatitis B,0
2008,Unknown,Diphtheria,0
2008,Unknown,Tetanus,0
2008,Unknown,Pertussis,0
2008,Unknown,Polio,0
2008,Unknown,Human Papilloma Virus,0
2008,Unknown,Varicella,0
2008,Unknown,Measles,0
2008,Unknown,Mumps,0
2008,Unknown,Rubella,0
2008,Unknown,Influenza,0
2008,Unknown,Rotavirus,0
2008,Unknown,Hib,0
2008,Unknown,Pneumococcal,0
2008,Unknown,Hepatitis A,0
2008,Unknown,Meningococcal,0
2008,0,Hepatitis B,67502
2008,0,Diphtheria,64910
2008,0,Tetanus,64910
2008,0,Pertussis,64833
2008,0,Polio,63632
2008,0,Human Papilloma Virus,0
2008,0,Varicella,0
2008,0,Measles,0
2008,0,Mumps,0
2008,0,Rubella,0
2008,0,Influenza,3775
2008,0,Rotavirus,50791
2008,0,Hib,62828
2008,0,Pneumococcal,63405
2008,0,Hepatitis A,0
2008,0,Meningococcal,0
2008,1,Hepatitis B,5427
2008,1,Diphtheria,17104
2008,1,Tetanus,17104
2008,1,Pertussis,17081
2008,1,Polio,6893
2008,1,Human Papilloma Virus,0
2008,1,Varicella,13662
2008,1,Measles,13869
2008,1,Mumps,13867
2008,1,Rubella,13872
2008,1,Influenza,7364
2008,1,Rotavirus,0
2008,1,Hib,10251
2008,1,Pneumococcal,15860
2008,1,Hepatitis A,17138
2008,1,Meningococcal,0
2008,2,Hepatitis B,1184
2008,2,Diphtheria,4092
2008,2,Tetanus,4092
2008,2,Pertussis,4078
2008,2,Polio,1288
2008,2,Human Papilloma Virus,0
2008,2,Varicella,1980
2008,2,Measles,1440
2008,2,Mumps,1438
2008,2,Rubella,1441
2008,2,Influenza,4030
2008,2,Rotavirus,0
2008,2,Hib,1946
2008,2,Pneumococcal,2585
2008,2,Hepatitis A,9499
2008,2,Meningococcal,230
2008,3,Hepatitis B,830
2008,3,Diphtheria,2075
2008,3,Tetanus,2075
2008,3,Pertussis,2071
2008,3,Polio,1089
2008,3,Human Papilloma Virus,0
2008,3,Varicella,1486
2008,3,Measles,1036
2008,3,Mumps,1036
2008,3,Rubella,1038
2008,3,Influenza,2626
2008,3,Rotavirus,0
2008,3,Hib,819
2008,3,Pneumococcal,1366
2008,3,Hepatitis A,4736
2008,3,Meningococcal,226
2008,4,Hepatitis B,1101
2008,4,Diphtheria,14412
2008,4,Tetanus,14412
2008,4,Pertussis,14395
2008,4,Polio,14176
2008,4,Human Papilloma Virus,0
2008,4,Varicella,13026
2008,4,Measles,14639
2008,4,Mumps,14630
2008,4,Rubella,14638
2008,4,Influenza,2733
2008,4,Rotavirus,0
2008,4,Hib,744
2008,4,Pneumococcal,1141
